Interval Bisection method

0	a = -2.00000000000	f(a) = 0.37007972652			b = 0.00000000000	f(b) = 4.00000000000				m = -1.00000000000	b-a = 2.00000000000
1	a = -2.00000000000	f(a) = 0.37007972652			b = -1.00000000000	f(b) = -0.11481544931				m = -1.50000000000	b-a = 1.00000000000
2	a = -2.00000000000	f(a) = 0.37007972652			b = -1.50000000000	f(b) = -27.57783989434				m = -1.75000000000	b-a = 0.50000000000
3	a = -1.75000000000	f(a) = 9.68138484502			b = -1.50000000000	f(b) = -27.57783989434				m = -1.62500000000	b-a = 0.25000000000
4	a = -1.62500000000	f(a) = 36.57070989974			b = -1.50000000000	f(b) = -27.57783989434				m = -1.56250000000	b-a = 0.12500000000
5	a = -1.62500000000	f(a) = 36.57070989974			b = -1.56250000000	f(b) = -240.87970871071				m = -1.59375000000	b-a = 0.06250000000
6	a = -1.59375000000	f(a) = 87.06853355762			b = -1.56250000000	f(b) = -240.87970871071				m = -1.57812500000	b-a = 0.03125000000
7	a = -1.57812500000	f(a) = 272.96552127822			b = -1.56250000000	f(b) = -240.87970871071				m = -1.57031250000	b-a = 0.01562500000
8	a = -1.57812500000	f(a) = 272.96552127822			b = -1.57031250000	f(b) = -4133.58258379695			m = -1.57421875000	b-a = 0.00781250000
9	a = -1.57421875000	f(a) = 584.47780951539			b = -1.57031250000	f(b) = -4133.58258379695			m = -1.57226562500	b-a = 0.00390625000
10	a = -1.57226562500	f(a) = 1361.30641704302			b = -1.57031250000	f(b) = -4133.58258379695			m = -1.57128906250	b-a = 0.00195312500
11	a = -1.57128906250	f(a) = 4059.09136492961			b = -1.57031250000	f(b) = -4133.58258379695			m = -1.57080078125	b-a = 0.00097656250
12	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57031250000	f(b) = -4133.58258379695			m = -1.57055664063	b-a = 0.00048828125
13	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57055664063	f(b) = -8344.11833047451			m = -1.57067871094	b-a = 0.00024414063
14	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57067871094	f(b) = -17004.38463786594			m = -1.57073974609	b-a = 0.00012207031
15	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57073974609	f(b) = -35347.61686306178			m = -1.57077026367	b-a = 0.00006103516
16	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57077026367	f(b) = -76736.65030159208			m = -1.57078552246	b-a = 0.00003051758
17	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57078552246	f(b) = -185110.77726408144			m = -1.57079315186	b-a = 0.00001525879
18	a = -1.57080078125	f(a) = 448988.82281560265		b = -1.57079315186	f(b) = -629933.15336553915			m = -1.57079696655	b-a = 0.00000762939
19	a = -1.57079696655	f(a) = 3126183.00461993650		b = -1.57079315186	f(b) = -629933.15336553915			m = -1.57079505920	b-a = 0.00000381470
20	a = -1.57079696655	f(a) = 3126183.00461993650		b = -1.57079505920	f(b) = -1577796.12342736220			m = -1.57079601288	b-a = 0.00000190735
21	a = -1.57079696655	f(a) = 3126183.00461993650		b = -1.57079601288	f(b) = -6371121.29189230970			m = -1.57079648972	b-a = 0.00000095367
22	a = -1.57079648972	f(a) = 12275912.58352686100		b = -1.57079601288	f(b) = -6371121.29189230970			m = -1.57079625130	b-a = 0.00000047684
23	a = -1.57079648972	f(a) = 12275912.58352686100		b = -1.57079625130	f(b) = -26490803.08950915900		m = -1.57079637051	b-a = 0.00000023842
24	a = -1.57079637051	f(a) = 45754664.98192800600		b = -1.57079625130	f(b) = -26490803.08950915900		m = -1.57079631090	b-a = 0.00000011921
25	a = -1.57079637051	f(a) = 45754664.98192800600		b = -1.57079631090	f(b) = -125839548.06771301000		m = -1.57079634070	b-a = 0.00000005960
26	a = -1.57079634070	f(a) = 143791090.61851233000	b = -1.57079631090	f(b) = -125839548.06771301000		m = -1.57079632580	b-a = 0.00000002980
27	a = -1.57079634070	f(a) = 143791090.61851233000	b = -1.57079632580	f(b) = -2015938859.84100170000		m = -1.57079633325	b-a = 0.00000001490
28	a = -1.57079633325	f(a) = 309670050.50292951000	b = -1.57079632580	f(b) = -2015938859.84100170000		m = -1.57079632953	b-a = 0.00000000745
29	a = -1.57079632953	f(a) = 731743890.44021225000	b = -1.57079632580	f(b) = -2015938859.84100170000		m = -1.57079632767	b-a = 0.00000000373
30	a = -1.57079632767	f(a) = 2297394054.60035660000	b = -1.57079632580	f(b) = -2015938859.84100170000		m = -1.57079632673	b-a = 0.00000000186
31	a = -1.57079632767	f(a) = 2297394054.60035660000	b = -1.57079632673	f(b) = -32910431510.08010100000		m = -1.57079632720	b-a = 0.00000000093
32	a = -1.57079632720	f(a) = 4939609785.08138660000	b = -1.57079632673	f(b) = -32910431510.08010100000		m = -1.57079632697	b-a = 0.00000000047
33	a = -1.57079632697	f(a) = 11623876560.62105900000	b = -1.57079632673	f(b) = -32910431510.08010100000		m = -1.57079632685	b-a = 0.00000000023
34	a = -1.57079632685	f(a) = 35942574487.27088200000	b = -1.57079632673	f(b) = -32910431510.08010100000		m = -1.57079632679	b-a = 0.00000000012
35	a = -1.57079632685	f(a) = 35942574487.27088200000	b = -1.57079632679	f(b) = -780230777344.34875000000	m = -1.57079632679	b-a = 0.00000000006

It took 35 iterations for the method to achieve the error tolerance. The convergence rate of the Interval Bisection method is linear.
